date,location,debate,speakers,dialogue,word_count,candidate,withdrawn,avg_word_length
6/26/2019,Miami,First Debate,Guthrie,"That's time, thank you. Congressman O'Rourke, what we've just been discussing and talking about is how much fundamental change to the economy is desirable and how much is actually doable. In that vein, some Democrats want a marginal individual tax rate of 70 percent on the very highest earners, those making more than $10 million a year. Would you support that? And if not, what would your top individual rate be?",71,0,0,4.46
6/26/2019,Miami,First Debate,O'rourke,"This economy has got to work for everyone. And right now, we know that it isn't. And it's going to take all of us coming together to make sure that it does.",32,1,1,3.5
6/26/2019,Miami,First Debate,O'rourke,"Right now, we have a system that favors those who can pay for access and outcomes. That's how you explain an economy that is rigged to corporations and to the very wealthiest. A $2 trillion tax cut that favored corporations while they were sitting on record piles of cash and the very wealthiest in this country at a time of historic wealth inequality. A new democracy that is revived because we've returned power to the people, no PACs, no gerrymandering, automatic and same-day voter registration to bring in more voters, and a new Voting Rights Act to get rid of the barriers that are in place now...",107,1,1,4.38
6/26/2019,Miami,First Debate,Guthrie,Congressman O'Rourke…,2,0,0,6.0
6/26/2019,Miami,First Debate,O'rourke,That's how we each have a voice in our democracy and make this economy work for everybody.,17,1,1,4.0
6/26/2019,Miami,First Debate,Guthrie,"Congressman, that's time, sir. I'll give you 10 seconds to answer if you want to answer the direct question. Would you support a 70 percent individual marginal tax rate? Yes, no, or pass?",33,0,0,4.14
6/26/2019,Miami,First Debate,O'rourke,I would support a tax rate and a tax code that is fair to everyone. Tax capital at the same right...,21,1,1,3.62
6/26/2019,Miami,First Debate,Guthrie,Seventy percent?,2,0,0,7.0
6/26/2019,Miami,First Debate,O'rourke,... that you -- you tax ordinary income. Take that corporate tax rate up to 28 percent. You would generate the revenues...,22,1,1,4.55
6/26/2019,Miami,First Debate,Guthrie,"OK, that's time.",3,0,0,2.75
6/26/2019,Miami,First Debate,O'rourke,... you need to pay for the programs we're talking about.,11,1,1,3.82
6/26/2019,Miami,First Debate,Guthrie,"That's time. Thank you.         Senator Booker, there is a debate in this party right now about the role of corporations, as you know. Senator Warren in particular put out a plan to break up tech companies like Facebook, Amazon, and Google. You've said we should not, quote, ""be running around pointing at companies and breaking them up without any kind of process."" Why do you disagree?",66,0,0,4.38
6/26/2019,Miami,First Debate,Booker,"I don't think I disagree. I think we have a serious problem in our country with corporate consolidation. And you see the evidence of that in how dignity is being stripped from labor, and we have people that work full-time jobs and still can't make a living wage. We see that because consumer prices are being raised by pharmaceutical companies that often have monopolistic holds on drugs. And you see that by just the fact that this is actually an economy that's hurting small businesses and not allowing them to compete. One of the most aggressive bills in the Senate to deal with corporate consolidation is mine about corporate consolidation in the ag sector. So I feel very strongly about the need to check the corporate consolidation and let the free market work. And I'll tell you this. I live in a low-income black and brown community. I see every single day that this economy is not working for average Americans. The indicators that are being used, from GDP to Wall Street's rankings, is not helping people in my community. It is about time that we have an economy that works for everybody, not just the wealthiest in our nation.",200,1,0,4.42
6/26/2019,Miami,First Debate,Guthrie,"But quickly, Senator Booker, you did say that you didn't think it was right to name names, to name companies and single them out, as Senator Warren has. Briefly, why is that?",32,0,0,4.09
6/26/2019,Miami,First Debate,Booker,"Well, again, I will single out companies like Halliburton or Amazon that pay nothing in taxes and our need to change that. And when it comes to antitrust law, what I will do is, number one, appoint judges that will enforce it, number two, have a DOJ and a Federal Trade Commission that will go through the processes necessary to check this kind of corporate concentration. At the end of the day, we have too much of a problem with corporate power growing. We see that with everything from Citizens United and the way they're trying to influence Washington. It's about time that we have a president that fights for the people in this country...",115,1,0,4.38
6/26/2019,Miami,First Debate,Guthrie,"That's time, sir.",3,0,0,3.0
6/26/2019,Miami,First Debate,Booker,We need to have someone that's a champion for them.,10,1,0,3.64
6/26/2019,Miami,First Debate,Guthrie,"Thank you, Senator. Senator Warren, I mentioned you...",8,0,0,5.12
6/26/2019,Miami,First Debate,Guthrie,Are you picking winners and losers?,6,0,0,4.83
6/26/2019,Miami,First Debate,Warren,"So the way I understand this, it's there is way too much consolidation now in giant industries in this country. That hurts workers. It hurts small businesses. It hurts independent farmers. It hurts our economy overall. And it helps constrict real innovation and growth in this economy. Now, look, we've had the laws out there for a long time to be able to fight back. What's been missing is courage, courage in Washington to take on the giants. That's part of the corruption in this system. It has been far too long that the monopolies have been making the campaign contributions, have been funding the super PACs, have been out there making sure that their influence is heard and felt in every single decision that gets made in Washington. Where I want to start this is I want to return government to the people, and that means calling out the names of the monopolists and saying I have the courage to go after them.",164,1,0,4.36
6/26/2019,Miami,First Debate,Guthrie,Thank you.,2,0,0,4.0
6/26/2019,Miami,First Debate,Holt,"Secretary Castro, the next question is for you. Democrats have been talking about the pay gap for decades. What would you do to ensure that women are paid fairly in this country?",32,0,0,4.47
6/26/2019,Miami,First Debate,Castro,"Thank you very much for that question, Lester. You know, I grew up with a mother who raised my brother, Joaquin, and me as a single parent. And I know what it's like to struggle. I know what it's like to rent a home and to worry about whether you're going to be able to pay the rent at the first of the month and to see a mom work very, very hard and know that moms across this country are getting paid less simply because they're women. I would do several things, starting with something we should have done a long time ago, which is to pass the Equal Rights Amendment finally in this country. And also pursue legislation so that women are paid equal pay for equal work in this country. It's past time that we did that. And, you know, we have to do this. If we want to be the most prosperous nation in the 21st century, we need to make sure that women are paid what they deserve.",173,1,0,3.84
6/26/2019,Miami,First Debate,Holt,"All right, thank you. I want to put the same question to Congresswoman Gabbard. Your thoughts on equal pay?",19,0,0,4.47
6/26/2019,Miami,First Debate,Gabbard,"First of all, let's recognize the situation we're in, that the American people deserve a president who will put your interests ahead of the rich and powerful. That's not what we have right now. I enlisted in the Army National Guard after the Al Qaida terror attacks on 9/11 so I could go after those who had attacked us on that day. I still serve as a major. I served over 16 years, deployed twice to the Middle East, and in Congress served on the Foreign Affairs and Armed Services Affairs for over six years. I know the importance of our national security, as well as the terribly high cost of war. And for too long, our leaders have failed us, taking us from one regime change war to the next, leading us into a new cold war and arms race, costing us trillions of our hard-earned taxpayer dollars and countless lives. This insanity must end. As president, I will take your hard-earned taxpayer dollars and instead invest those dollars into serving your needs, things like health care, a green economy, good-paying jobs, protecting our environment, and so much more.",190,1,0,4.3
6/26/2019,Miami,First Debate,Diaz-Balart,"Mayor De Blasio, good evening. You're the mayor of the biggest city in the United States, but it's also one of the cities in the country with the greatest gap between the wealthy and the poor. How would you address income inequality?",42,0,0,4.2
6/26/2019,Miami,First Debate,De Blasio,"Well, we've been addressing income inequality in New York City by raising wages, by raising benefits, by putting money back in the hands of working people, $15 minimum wage, paid sick days, pre-K for all, things that are making a huge difference in working people's lives. But let me tell you, what we're hearing here already in the first round of questions is that battle for the heart and soul of our party. I want to make it clear. This is supposed to be the party of working people. Yes, we're supposed to be for a 70 percent tax rate on the wealthy. Yes, we're supposed to be for free college, free public college, for our young people. We are supposed to break up big corporations when they're not serving our democracy. This Democratic Party has to be strong and bold and progressive. And in New York, we've proven that we can do something very different, we can put money back in the hands of working people. And let me tell you, every time you talk about investing in people and their communities, you hear folks say there's not enough money. What I say to them every single time is, there's plenty of money in this world, there's plenty of money in this country. It's just in the wrong hands. Democrats have to fix that.",225,1,1,4.06
6/26/2019,Miami,First Debate,Diaz-Balart,"Congressman Delaney, do you agree?",5,0,0,5.6
6/26/2019,Miami,First Debate,Delaney,"I think we have to do real things to help American workers and the American people. Right? This is the issue that all of us hear on the campaign trail. We need to make sure everyone has a living wage. And I've called for a doubling of the earned income tax credit, raising the minimum wage, and creating paid family leave. That will create a situation where people actually have a living wage. That gets right to workers. Then we've got to fix our public education system. It's not delivering the results our kids needs, nor is college and post high school career and technical training programs doing that. You know, I'm very different than everyone else here on the stage. Prior to being in Congress, I was an entrepreneur. I started two businesses. I created thousands of jobs. I spent my whole career helping small- to mid-sized businesses all over the country, 5,000 of them I supported. The Obama administration gave me an award for lending to disadvantaged communities. I know how to create jobs. We need a short-term strategy which is to put money in the pockets of workers with the earned income tax credit, raising the minimum wage, and creating family leave, and then we need to have a long-term strategy to make sure this country is competitive and we're creating jobs everywhere in this country.",229,1,0,4.39
6/26/2019,Miami,First Debate,Diaz-Balart,"Thank you. Governor Inslee, how would you address income inequality?",10,0,0,5.6
6/26/2019,Miami,First Debate,Inslee,"Well, I'm a little bit surprised. I think plans are great, but I'm a governor. And we've got to realize the people who brought us the weekend, unions, need -- are going to bring us a long overdue raise in America. And I'm proud of standing up for unions. I've got a plan to reinvigorate collective bargaining so we can increase wages finally. I marched with the SEIU folks. It is not right that the CEO of McDonald's makes 2,100 times more than the people slinging cash at McDonald's. And the next thing I'll do is put people to work in the jobs of the present and the future. Look it, Donald Trump is simply wrong. He says wind turbines cause cancer. We know they cause jobs. And we know that we can put millions of people to work in the clean energy jobs of the future. IBEW members, machinists, we're doing it in my state today. And then we can do what America always does:  lead the world and invent the future and put people to work. That's what we're going to do...",184,1,1,3.84
6/26/2019,Miami,First Debate,Diaz-Balart,"So, Congressman Ryan, President Trump, and you just referred to him, promise of manufacturing jobs were all coming back to places like your home state of Ohio. Can you make that same promise?",33,0,0,4.64
6/26/2019,Miami,First Debate,Ryan,"Yes, I believe you can, but, first, let's say the president came, he said don't sell your house to people in Youngstown, Ohio. And then his administration just in the last two years, we lost $4,000 -- 4,000 jobs at a General Motors facility. That rippled throughout our community. General Motors got a tax cut. General Motors got a bailout. And then they have the audacity to move a new car that they're going to produce to Mexico. I've had family members that have to unbolt a machine from the factory floor, put it in a box, and ship it to China. My area where I come from in northeast Ohio, this issue we're talking about here, it's been going on 40 years. This is not a new phenomenon in the United States of America. The bottom 60 percent haven't seen a raise since 1980. Meanwhile, the top 1 percent control 90 percent of the wealth. We need an industrial policy saying we're going to dominate building electric vehicles, there's going to be 30 million made in the next 10 years. I want half of them made in the United States. I want to dominate the solar industry...",198,1,1,4.0
6/26/2019,Miami,First Debate,Diaz-Balart,Thank you.,2,0,0,4.0
6/26/2019,Miami,First Debate,Ryan,... and manufacture those here in the United States.,9,1,1,5.0
6/26/2019,Miami,First Debate,Diaz-Balart,"Senator Warren, are they coming back? Are these jobs coming back?",11,0,0,4.73
6/26/2019,Miami,First Debate,Warren,"So we've had an industrial policy in the United States for decades now, and it's basically been let giant corporations do whatever they want to do. Giant corporations have exactly one loyalty, and that is to profits. And if they can save a nickel by moving a job to Mexico or to Asia or to Canada, they're going to do it. So here's what I propose for an industrial policy. Start with a place where there's a real need. There's going to be a worldwide need for green technology, ways to clean up the air, ways to clean up the water. And we can be the ones to provide that. We need to go tenfold in our research and development on green energy going forward. And then we need to say any corporation can come and use that research. They can make all kinds of products from it, but they have to be manufactured right here in the United States of America. And then we have to double down and sell it around the world. There's a $23 trillion market coming for green products. We should be the leaders and the owners, and we should have that 1.2 million manufacturing jobs here in America.",204,1,0,4.01
6/26/2019,Miami,First Debate,Diaz-Balart,Thank you.,2,0,0,4.0
6/26/2019,Miami,First Debate,Warren,We can do this.,4,1,0,2.75
6/26/2019,Miami,First Debate,Holt,"All right. We're going to turn to the issue of health care right now and really try to understand where there may or may not be daylight between you. Many people watching at home have health insurance coverage through their employer. Who here would abolish their private health insurance in favor of a government-run plan? Just a show of hands, start off with. All right, well, Senator Klobuchar, let me put the question to you. You're one of the Democrats who wants to keep private insurance in addition to a government health care plan. Why is an incremental approach in your view better than a sweeping overhaul?",107,0,0,4.49
6/26/2019,Miami,First Debate,Klobuchar,"Well, I think it's a bold approach. It's something that Barack Obama wanted to do when we were working on the Affordable Care Act. And that is a public option.         I am just simply concerned about kicking half of America off of their health insurance in four years, which is exactly what this bill says. So let me go on beyond that.         There is a much bigger issue in addition to that, and that is pharmaceuticals. The president literally went on TV, on Fox, and said that people's heads would spin when they see how much he would bring down pharmaceutical prices. Instead, 2,500 drugs have gone up in double-digits since he came into office. Instead, he gave $100 billion in giveaways to the pharma companies. For the rest of us, for the rest of America, that's what we call at home all foam and no beer. We got nothing out of it. And so my proposal is to do something about pharma, to take them on, to allow negotiation under Medicare, to bring in less expensive drugs from other countries. And pharma thinks they own Washington? Well, they don't own me.",192,1,0,4.14
6/26/2019,Miami,First Debate,Holt,"Your time is up. Thank you. Senator Warren, you signed on to Bernie Sanders' Medicare for all plan. It would put essentially everybody on Medicare and then eliminate private plans that offer similar coverage. Is that the plan or path that you would pursue as president?",46,0,0,4.72
6/26/2019,Miami,First Debate,Warren,"So, yes. I'm with Bernie on Medicare for all. And let me tell you why. I spent a big chunk of my life studying why families go broke. And one of the number-one reasons is the cost of health care, medical bills. And that's not just for people who don't have insurance. It's for people who have insurance. Look at the business model of an insurance company. It's to bring in as many dollars as they can in premiums and to pay out as few dollars as possible for your health care. That leaves families with rising premiums, rising copays, and fighting with insurance companies to try to get the health care that their doctors say that they and their children need. Medicare for all solves that problem. And I understand. There are a lot of politicians who say, oh, it's just not possible, we just can't do it, have a lot of political reasons for this. What they're really telling you is they just won't fight for it. Well, health care is a basic human right, and I will fight for basic human rights...",185,1,0,3.98
6/26/2019,Miami,First Debate,Holt,"Congressman O'Rourke, when you ran for Senate, you also praised a bill that would replace private insurance. This year, you're saying you're no longer sure. Can you explain why?",29,0,0,4.38
6/26/2019,Miami,First Debate,O'rourke,"My goal is to ensure that every American is well enough to live to their full potential because they have health care. In Laredo, Texas, I met a young man, 27 years old, told me that he'd been to a doctor once in his life. And on that visit, he was told he had diabetes, he was told he had glaucoma, and he was told untreated -- because he doesn't have health care -- he'll be dead before the age of 40. So getting to guaranteed, high-quality, universal health care as quickly and surely as possible has to be our goal. The ability to afford your prescriptions and go to a primary care provider, to be -- the ability to see a mental health care provider. In Texas, the single largest provider of mental health care services is the county jail system today.         And health care also has to mean that every woman can make her own decisions about her own body and has access to the care that makes that possible. Our plan says that if you're uninsured, we enroll you in Medicare. If you're insufficiently insured, you can't afford your premiums, we enroll you in Medicare. But if you're a member of a union that negotiated for a health care plan that you like because it works for you and your family, you're able to keep it.",229,1,1,4.04
6/26/2019,Miami,First Debate,Holt,Your time is up.,4,0,0,3.0
6/26/2019,Miami,First Debate,O'rourke,We preserve choice by making sure everybody has care.,9,1,1,4.89
6/26/2019,Miami,First Debate,Holt,"Your time is up, Congressman, but I do want to ask a follow-up on this. Just to be very clear -- I'll give you 10 seconds -- would you replace private insurance?",32,0,0,3.75
6/26/2019,Miami,First Debate,O'rourke,No. I think the choice is fundamental to our ability to get everybody cared for...,15,1,1,4.27
6/26/2019,Miami,First Debate,De Blasio,"Wait, wait, wait. Congressman O'Rourke, Congressman O'Rourke, private insurance is not working for tens of millions of Americans when you talk about the co-pays, the deductibles, the premiums, the out of pocket expenses. It's not working. How can you defend a system that's not working?",45,1,1,4.52
6/26/2019,Miami,First Debate,O'rourke,"That's right. So for those for whom it's not working, they can choose Medicare. For the...",16,1,1,3.72
6/26/2019,Miami,First Debate,De Blasio,Congressman...,1,1,1,11.0
6/26/2019,Miami,First Debate,O'rourke,... who I listen to...,5,1,1,3.0
6/26/2019,Miami,First Debate,De Blasio,... you've got to start by acknowledging the system is not working for people.,14,1,1,4.29
6/26/2019,Miami,First Debate,O'rourke,... they're able to keep them.,6,1,1,3.33
6/26/2019,Miami,First Debate,De Blasio,Why are you defending private insurance to begin with?,9,1,1,5.0
6/26/2019,Miami,First Debate,Delaney,"... 100 million Americans say they like their private health insurance, by the way. It should be noted that 100 million Americans -- I mean, I think we should be the party that keeps what's working and fixes what's broken. I mean, doesn't that make sense? I mean, we should give everyone in this country health care as a basic human right for free, full stop. But we should also give them the option to buy private insurance. Why do we have to stand for taking away something from people?         And also it's bad policy. If you go to every hospital in this country and you ask them one question, which is how would it have been for you last year if every one of your bills were paid at the Medicare rate? Every single hospital administrator said they would close. And the Medicare for all bill requires payments to stay at current Medicare rates. So to some extent, we're supporting a bill that will have every hospital closing. I mean, my dad was a union electrician, right?         I actually grew up in a working-class family. He loved the health care that the IBEW gave him. And I just always think about my dad in anything I would do from a policy perspective. He'd look at me and he'd say, good job, John, for getting health care for every American. But why are you taking my health care away?",239,1,0,4.1
6/26/2019,Miami,First Debate,Holt,"I've let this -- I've let this play out a little bit because I'm fascinated to hear the daylight between you. Congresswoman Gabbard, why don't you weigh in here?",29,0,0,3.88
6/26/2019,Miami,First Debate,Gabbard,"I think we're talking about this in the wrong way. You're talking about one bill over another bill. Really, what we're talking about is our objective, making sure that every single sick American in this country is able to get the health care that they need. I believe Medicare for all is the way to do that. I also think that employers will recognize how much money will be saved by supporting a Medicare for all program, a program that will reduce the administrative costs, reduce the bureaucratic costs, and make sure that everyone gets that quality health care that they need. I also think that...",106,1,0,4.39
6/26/2019,Miami,First Debate,Holt,Senator...,1,0,0,7.0
6/26/2019,Miami,First Debate,Gabbard,"... if you -- if you look at other countries in the world who have universal health care, every one of them has some form of a role of private insurance, so I think that's what we've got to look at, taking the best of these ideas, but making sure unequivocally that no sick American goes without getting the care that they need, regardless of how much or little money they have in their pocket.",75,1,0,4.09
6/26/2019,Miami,First Debate,Holt,"Congresswoman, Congresswoman, thanks.",3,0,0,10.67
6/26/2019,Miami,First Debate,Holt,"Let me turn to Senator Booker on this. Senator Booker, explain to me where you are. This is hugely important to people. So tell us where you are.",28,0,0,4.04
6/26/2019,Miami,First Debate,Booker,"I absolutely will. First of all, we're talking about this as a health care issue, but in communities like mine, low-income communities, it's an education issue, because kids who don't have health care are not going to succeed in school. It is an issue for jobs and employment, because people who do not have good health care do not succeed at work. It's even a retirement issue, because in my community, African-Americans have a lower life expectancy because of poorer health care. And so where I stand is very clear. Health care -- it's not just a human right, it should be an American right. And I believe the best way to get there is Medicare for all.         But I have an urgency about this. When I am president of the United States, I'm not going to wait. We have to do the things immediately that are going to provide better care. And on this debate, I'm sorry. There are too many people profiteering off of the pain of people in America, from pharmaceutical companies to insurers. Literally, the overhead for insurances that they charge is 15 percent, while Medicare's overhead is only at 2 percent. We can do this better. And every single day, I will be fighting to give people more access and more affordable costs until we get to my goal...",224,1,0,4.19
6/26/2019,Miami,First Debate,Holt,"Your time is up, Senator.",5,0,0,3.8
6/26/2019,Miami,First Debate,Booker,... which is every American having health care.,8,1,0,5.14
6/26/2019,Miami,First Debate,Holt,"Time is up, Senator. I want to...",7,0,0,3.14
6/26/2019,Miami,First Debate,Holt,"I want to move back, if I can, to Congresswoman Gabbard...",11,0,0,3.91
6/26/2019,Miami,First Debate,Warren,"... point, though, and that is that the insurance companies last year alone sucked $23 billion in profits out of the health care system, $23 billion. And that doesn't count the money that was paid to executives, the money that was spent lobbying Washington. We have a giant industry that wants our health care system to stay the way it is, because it's not working for families, but it's sure as heck working for them.",75,1,0,4.25
6/26/2019,Miami,First Debate,Warren,It's time for us to make families come first.,9,1,0,3.5
6/26/2019,Miami,First Debate,Inslee,"It should not be an option in the United States of America for any insurance company to deny a woman coverage for their exercise of their right of choice. And I am the only candidate here who has passed a law protecting a woman's right of reproductive health in health insurance, and I'm the only candidate who has passed a public option. And I respect everybody's goals and plans here, but we do have one candidate that's actually advanced the ball. And we've got to have access for everyone. I've done it as a public option.",96,1,1,4.1
6/26/2019,Miami,First Debate,Holt,Your time...,2,0,0,4.0
6/26/2019,Miami,First Debate,Holt,"Senator Klobuchar, I want to get you...",7,0,0,4.14
6/26/2019,Miami,First Debate,Unknown,That's a false claim.,4,0,0,3.2
6/26/2019,Miami,First Debate,Holt,I am fascinated by this. Senator -- Senator Klobuchar?,9,0,0,5.25
6/26/2019,Miami,First Debate,Klobuchar,"I just want to say, there's three women up here that have fought pretty hard for a woman's right to choose. I'll start with that. And then I just want to make very clear, I think we share the goal of universal health care. And the idea I put out there, the public option, which the governor was just talking about, this idea is that you use Medicare or Medicaid without any insurance companies involved, you can do it either way. And the estimates are 13 million people would see a reduction in their premiums, 12 more million people would get covered. So I think it is a beginning and the way you start and the way you move to universal health care.",123,1,0,4.06
6/26/2019,Miami,First Debate,Holt,"Secretary Castro, this one is for you. All of you on stage support a woman's right to an abortion. You all support some version of a government health care option. Would your plan cover abortion, Mr. Secretary?",37,0,0,4.37
6/26/2019,Miami,First Debate,Castro,"Yes, it would. I don't believe only in reproductive freedom, I believe in reproductive justice. And, you know, what that means is that just because a woman -- or let's also not forget someone in the trans community, a trans female, is poor, doesn't mean they shouldn't have the right to exercise that right to choose. And so I absolutely would cover the right to have an abortion.         More than that, everybody in this crowd and watching at home knows that in our country today, a person's right to choose is under assault in places like Missouri, in Alabama, in Georgia. I would appoint judges to the federal bench that understand the precedent of Roe v. Wade and will respect it and in addition to that, make sure that we fight hard as we transition our health care system to one where everybody can get and exercise that right.",149,1,0,4.26
6/26/2019,Miami,First Debate,Holt,"Senator Warren, would you put limits on -- any limits on abortion?",12,0,0,4.64
6/26/2019,Miami,First Debate,Warren,"I would make certain that every woman has access to the full range of reproductive health care services, and that includes birth control, it includes abortion, it includes everything for a woman. And I want to add on that. It's not enough for us to expect the courts to protect us. Forty-seven years ago, Roe v. Wade was decided, and we've all looked to the courts all that time, as state after state has undermined Roe, has put in exceptions, has come right up to the edge of taking away protections...",91,1,0,4.2
6/26/2019,Miami,First Debate,Holt,"Your time is up, Senator.",5,0,0,3.8
6/26/2019,Miami,First Debate,Warren,We now have an America where most people support Roe v. Wade. We need to make that a federal law.,20,1,0,3.75
6/26/2019,Miami,First Debate,Holt,"Senator, thank you. Jose?",4,0,0,4.75
6/26/2019,Miami,First Debate,Diaz-Balart,"Lester, thank you. Senator Booker, I want to kind of come back on a discussion we were having about health and the opioid crisis. You represent a state where 14 of the 20 largest pharmaceutical companies are based. Should pharmaceutical companies that manufacture these drugs be held criminally liable for what they do?",53,0,0,4.92
6/26/2019,Miami,First Debate,Booker,"They should absolutely be held criminally liable, because they are liable and responsible. This is one of the reasons why well before I was running for president I said I would not take contributions from pharma companies, not take contributions from corporate PACs, or pharma executives, because they are part of this problem. And this opioid addiction in our country, we in cities like mine have been seeing how we've tried to arrest our way out of addiction for too long. It is time that we have a national urgency to deal with this problem and make the solutions that are working to actually be the law of our land and make the pharmaceutical companies that are responsible help to pay for that.",123,1,0,4.57
6/26/2019,Miami,First Debate,Diaz-Balart,"Congressman O'Rourke, how would you deal with it?",8,0,0,4.33
6/26/2019,Miami,First Debate,O'rourke,"Tonight in this country, you have 2.3 million of our fellow Americans behind bars. It's the largest prison population on the face of the planet. Many are there for nonviolent drug crimes, including possession of marijuana, at a time that more than half the states have legalized it or decriminalized it. And yet despite what Purdue Pharma has done, their connection to the opioid crisis and the overdose deaths that we're seeing throughout this country, they've been able to act with complete impunity and pay no consequences, not a single night in jail. Unless there's accountability and justice, this crisis will continue. In my administration, we will hold them to account. We will make sure that they pay a price, and we will help those who've been victims of this malfeasance in this country get them treatment and long-term care.",140,1,1,4.58
6/26/2019,Miami,First Debate,Holt,I know immigration is on a lot of your minds here. And I want to talk about it. We're going to talk about it in a moment. We need to take a break. We'll be back with more from Miami after this.,42,0,0,3.3
6/26/2019,Miami,First Debate,Diaz-Balart,"We want to turn to an issue that has been in the news, especially this week. There are undocumented children being held alone in detention, even as close as Homestead, Florida, right here, less than 30 miles from where we are tonight. Fathers and mothers and children are dying while trying to enter the United States of America. We saw that image today that broke our hearts, and they had names. Oscar Martinez and his 23-month-old daughter, Valeria, died trying to cross the river to ask for asylum in this country. Last month, more than 130,000 migrants were apprehended at the southern border. Secretary Castro, if you were president today, hoy, what would you specifically do?",116,0,0,4.57
6/26/2019,Miami,First Debate,Castro,"Thank you very much, Jose. I'm very proud that in April I became the first candidate to put forward a comprehensive immigration plan. And we saw those images, watching that image of Oscar and his daughter, Valeria, is heartbreaking. It should also piss us all off. If I were president today -- and it should spur us to action. If I were president today, I would sign an executive order that would get rid of Trump's zero-tolerance policy, the remain in Mexico policy, and the metering policy -- this metering policy is basically what prompted Oscar and Valeria to make that risky swim across the river. They had been playing games with people who are coming and trying to seek asylum at our ports of entry. Oscar and Valeria went to a port of entry, and then they were denied the ability to make an asylum claim, so they got frustrated and they tried to cross the river, and they died because of that.",164,1,0,4.32
6/26/2019,Miami,First Debate,Diaz-Balart,"On day one. Sorry, I'm just going to ask...",9,0,0,2.9
