date,debate_name,debate_section,speaker,speech,speaking_time_seconds
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Elizabeth Warren,"Look, the way I see this is that Bernie is winning right now because the Democratic Party is a progressive party and progressive ideas are popular ideas. Even if there are a lot of people on this stage who don’t want to say so. But Bernie and I agree on a lot of things, but I think I would make a better president than Bernie. And the reason for that is that getting a progressive agenda enacted is going to be really hard and it’s going to take someone who digs into the details to make it happen. Bernie and I both wanted to help reign in Wall Street. In 2008, we both got our chance, but I dug in, I fought the big banks, I built the coalitions and I won. Bernie and I both want to see universal healthcare, but Bernie’s plan doesn’t explain how to get there, doesn’t show how we’re going to get enough allies into it and doesn’t show enough about how we’re going to pay for it.",60.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Elizabeth Warren,"I dug in, I did the work and then Bernie’s team trashed me for it. We need a president who is going to dig in, do the hard work and actually get it done. Progressive’s have got one shot and we need to spend it with a leader who will get something done.",19.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Gayle King,"Mayor Buttigieg, we want to bring you in his conversation. Why would the Russians to be working on behalf of Bernie Sanders?",6.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Pete Buttigieg,"I’ll tell you what the Russians want. They don’t have a political party. They want chaos and chaos is what is coming our way. I mean, look, if you think the last four years has been chaotic, divisive, toxic, exhausting, imagine spending the better part of 2020 with Bernie Sanders versus Donald Trump. Think about what that will be like for this country. And meanwhile, folks at home from South Carolina to South Bend are trying to figure out what any of this means for us. Because it’s right that there is a progressive majority, an American majority that wants to see real change, wants to see wages go up and go up faster than the cost of health and saving for retirement. But also there’s the majority of the American people who I think right now just to be able to turn on the TV, see their President and actually feel their blood pressure go down a little bit instead of up through the roof. We have an opportunity to set a different tone.",62.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Norah O’Donnell,Mr. Steyer.,2.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Tom Steyer,"Bernie Sanders’ analysis is right. The difference is I don’t like his solutions. I don’t believe that a government takeover of large parts of the economy makes any sense for working people or for families. I think that what we need to do is to present an alternative that includes a vibrant competitive private sector, but we all know unchecked capitalism has failed. The answer’s not for the government to take over the private sector though. The answer is for us to break the corporate stranglehold on our government and have the government work for the people again.",38.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Norah O’Donnell,Vice President Biden.,1.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Tom Steyer,"Well, let me just finish because we need to have an alternative to Donald Trump. I’m talking about doubling the minimum wage, cutting taxes by 10% for everybody who makes less than $250,000 and creating over four and a half million good paying union jobs. Donald Trump stinks. He’s incompetent. As a steward of the American economy, we have to show that we can create a growing prosperous economy [crosstalk 00:07:13] that works for American working people.",27.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Gayle King,"Mr. Steyer, thank you, your time’s up. Vice President Biden.",4.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Joe Biden,"We talk about progressive, let’s talk about being progressive. Walking distance here is Mother Emanuel Church. Nine people shot dead by a white supremacist. Bernie voted five times against the Brady Bill and monitored a waiting period … No, let me finish. A waiting period of 12 hours. I’m not saying he’s responsible for the nine deaths, but that man would not have been able to get that weapon with the waiting period had been what I suggest until you are cleared. In addition to that, being progressive, he thought Barack Obama, he wanted a primary. He said we should primary Barack Obama, someone should. And in fact the president was weak and our administration was in fact not up to it. Look, folks, let’s talk about progressive. Progressive is getting things done. And that’s what we got done. We got a lot done.",55.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Gayle King,"Senator Sanders, your response.",5.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Bernie Sanders,"Pete mentioned … I’m hearing my name mentioned a little bit tonight. I wonder why and maybe, Pete mentions what the American people want. I will tell you, Pete, what the American people want and Joe what the American people want, they don’t want candidates to be running to billionaires for huge amounts of funding.",19.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Pete Buttigieg,Let’s clear this up once and for all.,2.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Bernie Sanders,"Pete has gotten funding [crosstalk 00:08:42] from 50 billionaires. Joe I think, has gotten a little bit more. What the American people want by the way, and a lot of the issues we’ll be discussing tonight are issues I raised four years ago. Raising the minimum wage to a living wage, 15 bucks an hour, making public colleges and universities tuition free and finally doing what every other major country on Earth does, guaranteeing healthcare to all people as a human right to a Medicare For All single payer system [crosstalk 00:00:09:14].",37.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Pete Buttigieg,I can’t allow this to stand because it’s just not true. Senator Sanders has got people believing [crosstalk 00:09:21] something that is untrue about my campaign. The idea that most of my campaign is funded by billionaires-,9.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Bernie Sanders,"I didn’t say that, Pete.",1.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Pete Buttigieg,"50 people. All right, in Charleston alone, just in Charleston, over 2000 people have contributed to my campaign. That means the dollars that have come to my campaign just from Charleston is more than the dollars that have come from the 50 people that you mentioned. Grassroots contributions are the lifeblood of my campaign. In fact, I shouldn’t miss the opportunity. If you’re watching right now and you support my campaign, go to peteforamerica.com and chip in. And if you’re watching right now and you’re a billionaire, I will raise your taxes. But if you’d like to defeat Donald Trump, please go to peteforamerica.com and donate the legal maximum of $2,800 if you’re a billionaire.",41.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Gayle King,"All right, Mayor Buttigieg. Vice President Biden, I want to bring us to another topic. We’re in South Carolina. It’s the first primary with a significant black voting population. Your numbers appear to be slipping with black voters and I’m wondering if you could respond about why that is happening to you at this particular time.",18.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Joe Biden,"Well first of all, the latest poll, I saw my numbers, I’m still 15 points ahead. The latest poll.",6.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Gayle King,"Yes, yes, you’re correct.",1.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Joe Biden,But look-,3.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Gayle King,But Senator Sanders is in striking distance of you. You are within the margin of error in this state.,5.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Joe Biden,"Well, it depends on which … Look, I’ve earned the vote. I’ve worked like the devil to earn the vote of the African American community, not just here but across the country. I’ve been coming here for years and years creating jobs here, making sure that the port, for example, that employs one in 11 people, we put $500 million in our administration just into this county. We’ve created jobs for people. The people know me. My entire career has been wrapped up in dealing with civil rights and civil liberties. I don’t expect anything. I plan to earn the vote. I’m here to ask [inaudible 00:11:16]. But folks, I intend to win South Carolina and I will win the African American vote here in South Carolina.",44.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Gayle King,"Mr. Biden, will you continue if you do not win South Carolina. You have said that South Carolina will determine the outcome of this presidential race. If you don’t win South Carolina, will you continue?",11.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Joe Biden,I will win South Carolina.,2.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Gayle King,"All right, sir. Mayor Bloomberg, I’d like to bring you in this conversation. I want to ask you about a question that impacts the black and brown community. You’ve apologized for stop-and-frisk repeatedly. What exactly are you apologizing for?",13.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Michael Bloomberg,"We let it get out of control. And when I realized that I cut it back by 95%. And I’ve apologized and asked for forgiveness, I’ve met with black leaders to try to get an understanding of-",12.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Michael Bloomberg,"[inaudible 00:12:00] I’ve met with Black leaders to try to get an understanding of how I can better position myself and what I should have done and what I should do next time. But let me tell you, I have been working very hard. We’ve improved the school system for Black and Brown students in New York City. We’ve increased the jobs that are available to them. We’ve increased the housing that’s available to them. We have programs like the-",21.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Gayle King,"But what more can you do about this issue, Mr. Mayor, to put people’s fears and skepticism to rest?",3.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Michael Bloomberg,I think they just-,1.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Gayle King,It continues to follow you.,1.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Michael Bloomberg,"No. Well, that’s because it’s in their interest to promote that. But if you talk to the people in New York City, I have over 100 Black elected officials that have endorsed me. A lot of them are in the audience tonight. And I’ve earned the respect of people in New York City. I was the mayor of the largest, most populous city in the United States for 12 years, and people will tell you it’s a lot better city today. It is safer for everybody. The school system is better. The budget’s under control. We’ve done the things that people need in New York City for all ethnicities.",36.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Gayle King,"Mayor Buttigieg, mayor to mayor, you’ve certainly had your issues with the Black community as well. Do you think the New York City’s implementation of stop and frisk was racist?",13.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Pete Buttigieg,"Yes. In effect, it was. Because it was about profiling people based on their race. And the mayor even said that they disproportionately stopped White people too often and minorities too little. And I’m not here to score points. I come at this with a great deal of humility, because we have had a lot of issues, especially when it comes to racial justice and policing in my own community.",24.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Pete Buttigieg,"And I come to this with some humility because I’m conscious of the fact that there are seven White people on this stage talking about racial justice. None of us have the experience, the lived experience of, for example, walking down the street or in a mall and feeling eyes on us, regarding us as dangerous, without knowing the first thing about us just because the color of our skin. None of us have the experience that Black women have had that drives that maternal mortality gap that we are all rightly horrified by, of going into a doctor and being less likely to have your description of being in pain believed because of your race.",39.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Norah O’Donnell,"Thank you, Mayor.",1.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Pete Buttigieg,"Since we don’t have the experience, the next best thing-",2.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Norah O’Donnell,"Thank you, Mayor.",0.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Pete Buttigieg,… we can do is actually listen to those who do.,2.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Norah O’Donnell,Thank you. I’m going to get to [crosstalk 00:14:27]-,1.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Michael Bloomberg,"Wait a second. I know that if I were Black, my success would have been a lot harder to achieve. And I know a lot of Black people that if they were White, it would’ve been a lot easier for them. That’s just a fact, and we’ve got to do something about it than rather just demagogue about it.",15.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Norah O’Donnell,"Senator Klobuchar, was the way that the mayor implemented stop and frisk racist?",5.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Amy Klobuchar,"Yes, and I think that what we need to do instead of just reviewing everything from the past is talk about where we’re going to go forward. Martin Luther King once said that we are all tied in a single garment of destiny, and that what affects one of us directly affects all of us indirectly. So when there is racism in the criminal justice system, then we need to fix it. And to me that means sentencing reform, like the First Step Act, and extending that to the states with the Second Step Act.",33.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Amy Klobuchar,"It means equal opportunity, because if we don’t pass Representative Clyburn’s bill out of South Carolina here to invest in impoverished communities, we’re never going to get to that single garment of destiny.",14.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Amy Klobuchar,"And we also need to do something about child care, about making sure we increase the minimum wage. And then, finally, voting. While we are all sitting here debating, Wisconsin has kicked hundreds of thousands-",13.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Norah O’Donnell,Senator-,0.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Amy Klobuchar,… of people off of their voting rolls.,2.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Norah O’Donnell,"Thank you, Senator.",0.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Amy Klobuchar,"Georgia kicked 100,000 off. As president-",3.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Norah O’Donnell,Thank you.,0.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Amy Klobuchar,… I will get voting rights to be a reality for everyone.,4.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Norah O’Donnell,"Thank you, Senator. Gayle?",0.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Gayle King,"Senator Warren, I’m coming to you. I want to direct this question to you because Mayor Bloomberg has said he got in this race late because he doesn’t believe that any of you on stage can beat Donald Trump. You said Mayor Bloomberg is not the safest candidate, he is the riskiest candidate. What did you mean by that?",18.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Elizabeth Warren,"I mean that Mayor Bloomberg … Let’s think of it this way. We’re here in Charleston, and you know who’s going to be in Charleston later this week is Donald Trump. He’s going to be here to raise money for his buddy, Senator Lindsey Graham. Who funded Lindsey Graham’s campaign for re-election last time? It was Mayor Bloomberg.",20.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Elizabeth Warren,"And that’s not the only right-wing senator that Mayor Bloomberg has funded. In 2016, he dumped $12 million into the Pennsylvania Senate race to help re-elect an anti-choice, right-wing Republican senator. And I just want to say, the woman challenger was terrific. She lost by a single point. In 2012, he scooped in to try to defend another Republican senator against a woman challenger. That was me. It didn’t work, but he tried hard.",38.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Elizabeth Warren,I don’t care how much money Mayor Bloomberg has. The core of the Democratic Party will never trust him. He has not earned their trust. I will. And the fact that he cannot earn the trust of core of the Democratic Party means he is the riskiest candidate standing on this stage.,25.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Gayle King,"All right, Senator Warren, thank you. Mayor Bloomberg, would you like to respond? Mayor Bloomberg?",6.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Michael Bloomberg,"I have been training for this job since I stepped on the pile that was still smoldering on 9/11. I know what to do. I’ve shown I know how to run a country. I’ve run the city which is almost the same size … is bigger than most countries in the world. I’m the one choice that makes some sense. I have the experience, I have the resources, and I have the record. And all those sideshows that the Senator wants to bring up have nothing to do with that. When people hired me to run New York City three times, in an overwhelmingly Democratic, progressive city, they elected me again and again.",39.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Norah O’Donnell,Mr. Vice President?,2.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Elizabeth Warren,I was mentioned in this.,0.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Joe Biden,No-,0.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Elizabeth Warren,I’d like to respond.,1.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Joe Biden,There was a-,0.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Norah O’Donnell,"Go ahead, Senator.",2.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Elizabeth Warren,He called me out by name in this-,0.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Joe Biden,There was a … I thought-,2.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Elizabeth Warren,"… and referred to what I talk about as a “sideshow.” This is personal for me. When I was 21 years old, I got my first job as a special education teacher. I loved that job. And by the end of the first year, I was visibly pregnant. The principal wished me luck and gave my job to someone else. Pregnancy discrimination? You bet. But I was 21 years old, I didn’t have a union to protect me, and I didn’t have any federal law on my side. So I packed up my stuff, and I went home. At least I didn’t have a boss who said to me, “Kill it,” the way that Mayor Bloomberg-",39.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Michael Bloomberg,Never said that.,2.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Elizabeth Warren,… is alleged to have said-,0.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Michael Bloomberg,"Oh, come one.",1.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Elizabeth Warren,… to one of his pregnant employees. People want a chance-,5.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Michael Bloomberg,That-,3.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Elizabeth Warren,People want a chance-,1.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Norah O’Donnell,"Thank you, Senator.",2.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Elizabeth Warren,… to hear from the women who have worked for Mayor Bloomberg.,1.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Michael Bloomberg,I never said that.,2.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Norah O’Donnell,I want to allow the Mayor [crosstalk 00:19:25] to respond.,0.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Michael Bloomberg,"And for the record, if she was a teacher in New York City, she would never have had that problem. We treated our teachers the right way, and the unions will tell you exactly that.",9.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Norah O’Donnell,"Well, Mayor Bloomberg, Senator Warren has raised-",2.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Elizabeth Warren,"Then let us have … the women have an opportunity to speak. The Bloomberg corporations and Mayor Bloomberg himself have been accused of discrimination. They are bound by nondisclosures so that they cannot speak. If he says there is nothing to hide here, then sign a blanket release, and let those women speak out-",23.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Amy Klobuchar,"Hey, no.",2.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Elizabeth Warren,… so that they can tell their stories-,0.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Pete Buttigieg,[crosstalk 00:20:01].,0.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Elizabeth Warren,… the way I can tell my story without-,2.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Amy Klobuchar,Norah?,1.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Norah O’Donnell,Thank you. I-,0.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Elizabeth Warren,… having the fear-,0.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Amy Klobuchar,Norah.,1.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Elizabeth Warren,… that they’re going to be sued by a billionaire.,1.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Norah O’Donnell,"Thank you. Thank you. We have a number of issues to discuss tonight, but I want to give the Mayor an opportunity to respond because she has raised concerns about women in your workplace. At the last debate, you said some of your female employees might not have liked some of your jokes. Did these women take your jokes wrong? Or were you wrong to make the jokes?",18.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Michael Bloomberg,"Probably wrong to make the jokes. I don’t remember what they were, so I assume if it bothered them, I was wrong, and I apologize. I’m sorry for that. But what happened here is we went back 40 years, and we could only find three cases where women said they were uncomfortable. Nobody accused me of doing anything other than just making a comment or two. And what the Senator did suggest was that we release these women from the nondisclosure agreement. I did that two days later, and my company has said we will not use nondisclosure agreements ever again. The Senator has got it, and I don’t know what else she wants us to do.",36.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Elizabeth Warren,"Oh, I’ll be clear.",0.0
